0,1,2,3,4,5,6,7
2019-10-08 15:33:57,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,"Greater Accra, Ghana",False,Twitter for Android,57,0
2019-10-08 15:28:20,"RT @AtinukeTunrayo: Islam is the best, marry four wives so as to stay away from extra marital affairs like that of #DrBoniface they won't l…",en,"Kaduna, Nigeria",False,Twitter for iPhone,40,0
2019-10-08 15:26:43,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,"Cape Coast, Ghana",False,Twitter for iPhone,57,0
2019-10-08 15:24:13,RT @takumush: Degraded Lecturer Dr. Boniface Igbeneghu Attempts Suicide https://t.co/mm3twXUQgE #DrBoniface #Unilag #TuesdayThoughts #Tuesd…,fr,,False,Twitter for Android,2,0
2019-10-08 15:23:10,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,"Accra, Ghana",False,Twitter for iPhone,57,0
2019-10-08 15:21:15,@TheViralTrendz @MrOneXMind Those are the type lecturers we need..... Not the ones for #SexForGrades #DrBoniface,en,"Lagos, Nigeria 🇳🇬",False,Twitter for Android,0,0
2019-10-08 15:15:49,RT @OgbeniCzar: The randy #ColdRoom #SexForGrades #DrBoniface didn't start his reprehensible moral demeanor and political belligerence toda…,en,"ÜT: 6.6030793,3.292544",False,Twitter for Android,2,0
2019-10-08 15:08:06,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,,False,Twitter for Android,212,0
2019-10-08 15:05:23,"Can we pls talk about this? PLS MENTION THE FULL NAMES AND DETAILS OF ANY RANDY LECTURER U KNOW, EITHER NOW OR WHEN… https://t.co/w3GDGk4Mg3",en,Nigeria,False,Instagram,0,1
2019-10-08 15:05:06,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,Nigeria,False,Twitter for Android,212,0
2019-10-08 15:03:52,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,,False,Twitter for Android,57,0
2019-10-08 14:56:53,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,Under the Canopy of God.,False,Twitter for Android,212,0
2019-10-08 14:56:06,RT @ayodraws: Many of our beloved women are damaged because of what these idiotic men have done! We will not let it slide! #sexforgrades #c…,en,,False,Twitter for Android,18,0
2019-10-08 14:34:01,RT @DicyVans: This is worth reading. #Gyampo #ColdRoom #SexForGrades #DrBoniface #BBCAfricaneye #Coldroomexperience #DrButokor @lydiaforson…,en,"Tema, Ghana",False,Twitter for iPhone,1,0
2019-10-08 14:20:04,RT @AdogaMikeOyi: #SexForGrades Lecturers. @Tev_Media1 wishes to joyously  partner @BBCAfrica in making sure the inhumane lecturers perpetr…,en,"Abuja, Nigeria",False,Twitter for Android,2,0
2019-10-08 14:12:38,"EFCC re-arraign  Atiku's son In-law

https://t.co/rngdMrSRyC

#DrBoniface #Boniface",en,"Abuja, Nigeria",False,Twitter Web App,0,0
