"name","username","time","timestamp","text"
"Ethical  🇳🇬","@walecoker65","Oct 8, 2019 6:13 AM","1570511623","
  Where have you been hiding, he has since been suspended by Unilag and fired by Foursquare!
"
"Sandy rukky","@Girlsglobe3","Oct 8, 2019 6:13 AM","1570511611","
  #bbcnews This man is another predator in unilag as he confessed to me that he always takes small small girls to hotel and that they enjoy doing it with him. He began disturbing me for sex too. Here is his number 08065432014 pic.twitter.com/MkmlYyfKib
"
"Peaceful Tout™","@Ti_OluwaLope","Oct 8, 2019 6:13 AM","1570511595","
  Unilag aff suffered.
"
"Tattafo","@tattafo","Oct 8, 2019 6:12 AM","1570511541","
  New post: #SexForGrades: UNILAG students speak on experience with randy lecturer http://bit.ly/35eVWmq 
"
"Vincent","@vincetita1","Oct 8, 2019 6:11 AM","1570511492","
  UNILAG doesn't know that it can be joined in sexual harassment lawsuit against Dr. Boniface
"
"Hafiz","@Hafi__z","Oct 8, 2019 6:11 AM","1570511471","
  Is Falz the Pro Chancellor of Unilag? He can't do much tbh. https://twitter.com/FlawlessMilo/status/1181195782822731777 …
"
"Naija Gatekeeper","@9jagatekeeperng","Oct 8, 2019 6:10 AM","1570511446","
  #SexForGrade: Randy UNILAG Lecturer, Boniface Igbenegu Breaks Silence | Gatekeeper - https://gatekeeper.ng/2019/10/08/sexforgrade-randy-unilag-lecturer-boniface-igbenegu-breaks-silence/ …pic.twitter.com/BxFYoFYoB9
"
"Gopika Bashi","@gopikabashi","Oct 8, 2019 6:10 AM","1570511408","
  The university goes on about how ‘embarrassed’ it is, with a paltry line at the bottom about a safe learning environment. How about a statement that stands with survivors & an apology to them! Students in UNILAG should do a #fixedit on how it should actually read. #sexforgradeshttps://twitter.com/samirasawlani/status/1181333734764810241 …
"
"Veiled One","@one_veiled","Oct 8, 2019 6:09 AM","1570511382","
  The first meeting was OK. Went as normal as I expected. I even thought the man would end up being some sort of mentor because he gave the  whole 'Wole Soyinka' vibe - I'm sure Unilag students are beginning to guess who.
"
"Naija News Agency","@NaijaAgencyNews","Oct 8, 2019 6:07 AM","1570511265","
  Outrage as sex-for-grades scandal rocks UNILAG https://naijanewsagency.com/outrage-as-sex-for-grades-scandal-rocks-unilag/ …
"
