"","word","freq"
"comment","comment",2
"imag","imag",2
"tarnish","tarnish",2
"damn","damn",2
"ejacul","ejacul",2
"pleasur","pleasur",2
"requir","requir",2
"accra","accra",2
"brainstorm","brainstorm",2
"coffe","coffe",2
"thefiv","thefiv",2
"thefiveloung","thefiveloung",2
"thev","thev",2
"career","career",2
"enough","enough",2
"faith","faith",2
"ruin","ruin",2
"citicb","citicb",2
"els","els",2
"ehn","ehn",2
"finish","finish",2
"sɛ","sɛ",2
"wɔn","wɔn",2
"author","author",2
"fake","fake",2
"immor","immor",2
"burger","burger",2
"judg","judg",2
"pizza","pizza",2
"bogus","bogus",2
"catchi","catchi",2
"headlin","headlin",2
"sway","sway",2
"abt","abt",2
"etcetera","etcetera",2
"religi","religi",2
"shd","shd",2
"street","street",2
"ward","ward",2
"whatnot","whatnot",2
"camp","camp",2
"moneygrad","moneygrad",2
"oooo","oooo",2
"date","date",2
"duck","duck",2
"hot","hot",2
"shouldn","shouldn",2
"coza","coza",2
"fun","fun",2
"usual","usual",2
"lambast","lambast",2
"rada","rada",2
"sound","sound",2
"sunnylov","sunnylov",2
"howev","howev",2
"loos","loos",2
"devil","devil",2
"idl","idl",2
"wisest","wisest",2
"workshop","workshop",2
"eih","eih",2
"rest","rest",2
"bbnaiija","bbnaiija",2
"coincid","coincid",2
"onlin","onlin",2
"master","master",2
"rice","rice",2
"epidem","epidem",2
"relev","relev",2
"felt","felt",2
"amɛɛboaa","amɛɛboaa",2
"opposit","opposit",2
"shameless","shameless",2
"whatsapp","whatsapp",2
"knowledg","knowledg",2
"sef","sef",2
"polici","polici",2
"mother","mother",2
"hug","hug",2
"part","part",2
"leav","leav",2
"ogfdikgq","ogfdikgq",2
"phd","phd",2
"phdchat","phdchat",2
"phdforum","phdforum",2
"universityofghana","universityofghana",2
"surpris","surpris",2
"naa","naa",2
"stuff","stuff",2
"beauti","beauti",2
"legon","legon",2
"secondari","secondari",2
"sunjjauz","sunjjauz",2
"cebvkhobvx","cebvkhobvx",2
"realiti","realiti",2
"hide","hide",2
"negat","negat",2
"redeem","redeem",2
"freealua","freealua",2
"kwame","kwame",2
"nkrumah","nkrumah",2
"openuplegaleduc","openuplegaleduc",2
"prison","prison",2
"key","key",2
"lectu","lectu",2
"pen","pen",2
"troubl","troubl",2
"uew","uew",2
"yesterday","yesterday",2
"durzeewka","durzeewka",2
"joysm","joysm",2
"floor","floor",2
"generat","generat",2
"meal","meal",2
"multipl","multipl",2
"kudo","kudo",2
"marri","marri",2
"molest","molest",2
"worst","worst",2
"dummi","dummi",2
"station","station",2
"discourag","discourag",2
"cri","cri",2
"abdulkareem","abdulkareem",2
"alexa","alexa",2
"eedri","eedri",2
"dat","dat",2
"condit","condit",2
"doesnt","doesnt",2
"focus","focus",2
"venita","venita",2
"ihop","ihop",2
"ryyaotztct","ryyaotztct",2
"ycarunu","ycarunu",2
"shit","shit",2
"asem","asem",2
"nigga","nigga",2
"whodeyeat","whodeyeat",2
"mini","mini",2
"public","public",2
"format","format",2
"german","german",2
"regular","regular",2
"settlement","settlement",2
"settl","settl",2
"bro","bro",2
"hav","hav",2
"understood","understood",2
"thunder","thunder",2
"shine","shine",2
"ana","ana",2
"almajiri","almajiri",2
"mallamsmollest","mallamsmollest",2
"shift","shift",2
"kraa","kraa",2
"okay","okay",2
"punish","punish",2
"aren","aren",2
"impli","impli",2
"took","took",2
"pepper","pepper",2
"although","although",2
"maria","maria",2
"sexanoint","sexanoint",2
"tomorrow","tomorrow",2
"autocorrect","autocorrect",2
"theirselv","theirselv",2
"worri","worri",2
"nonsens","nonsens",2
"pray","pray",2
"gir","gir",2
"vznortnlq","vznortnlq",2
"specialti","specialti",2
"supervis","supervis",2
"yrs","yrs",2
"demon","demon",2
"epic","epic",2
"parad","parad",2
"footag","footag",2
"panelist","panelist",2
"tackl","tackl",2
"studentsorganizin","studentsorganizin",2
"enabl","enabl",2
"buhari","buhari",1
"coz","coz",1
"forgiv","forgiv",1
"grab","grab",1
"intro","intro",1
"itujyjxli","itujyjxli",1
"tight","tight",1
"unti","unti",1
"wallet","wallet",1
"biko","biko",1
"minist","minist",1
"wedeservebett","wedeservebett",1
"bzbehqnu","bzbehqnu",1
"proud","proud",1
"deplor","deplor",1
"similar","similar",1
"ymkqkqunq","ymkqkqunq",1
"jfipjetbd","jfipjetbd",1
"kxzkdpges","kxzkdpges",1
"regist","regist",1
"npefdlsqav","npefdlsqav",1
"hustlertrend","hustlertrend",1
"jaggyn","jaggyn",1
"lagoshustlegang","lagoshustlegang",1
"successcirleng","successcirleng",1
"thlpowlgf","thlpowlgf",1
"yysmatom","yysmatom",1
"xdpglbabt","xdpglbabt",1
"aladesanmi","aladesanmi",1
"apero","apero",1
"download","download",1
"kuqqpwpqn","kuqqpwpqn",1
"listenl","listenl",1
"onairnow","onairnow",1
"oyekanmi","oyekanmi",1
"sejovwbk","sejovwbk",1
"kalojudg","kalojudg",1
"excus","excus",1
"ngsdglydz","ngsdglydz",1
"suspens","suspens",1
"zfjwgvq","zfjwgvq",1
"shirt","shirt",1
"wear","wear",1
"ach","ach",1
"btw","btw",1
"ident","ident",1
"secur","secur",1
"wish","wish",1
"wqlqyklaaq","wqlqyklaaq",1
"sexformark","sexformark",1
"stds","stds",1
"whatev","whatev",1
"zxktvubl","zxktvubl",1
"fore","fore",1
"uotndareq","uotndareq",1
"hhtpssgl","hhtpssgl",1
"trump","trump",1
"ekezi","ekezi",1
"elizabeth","elizabeth",1
"honor","honor",1
"kennedi","kennedi",1
"mentorship","mentorship",1
"mvgklzprfo","mvgklzprfo",1
"queen","queen",1
"rais","rais",1
"boom","boom",1
"mkzvekydyv","mkzvekydyv",1
"neszzhsqo","neszzhsqo",1
"varsiti","varsiti",1
"wont","wont",1
"hpwlajgsf","hpwlajgsf",1
"hiphopaward","hiphopaward",1
"qlbqpjokdp","qlbqpjokdp",1
"true","true",1
"win","win",1
"winner","winner",1
"bhdvxore","bhdvxore",1
"file","file",1
"rank","rank",1
"womenpolic","womenpolic",1
"bet","bet",1
"interview","interview",1
"olunloyo","olunloyo",1
"xrbaitq","xrbaitq",1
"aunti","aunti",1
"kzxeyec","kzxeyec",1
"adequ","adequ",1
"dissect","dissect",1
"salutari","salutari",1
"xgyheiiftx","xgyheiiftx",1
"lujqbygim","lujqbygim",1
"practic","practic",1
"greedi","greedi",1
"river","river",1
"roll","roll",1
"stream","stream",1
"fabric","fabric",1
"prais","prais",1
"sing","sing",1
"sort","sort",1
"debat","debat",1
"forc","forc",1
"governm","governm",1
"last","last",1
"xiaxhkuwvi","xiaxhkuwvi",1
"pusbpraog","pusbpraog",1
"sexpost","sexpost",1
"sexpray","sexpray",1
"tdoihox","tdoihox",1
"classic","classic",1
"snbuxtyjt","snbuxtyjt",1
"sexgra","sexgra",1
"ticket","ticket",1
"dismiss","dismiss",1
"perman","perman",1
"alarm","alarm",1
"wpumarrt","wpumarrt",1
"current","current",1
"born","born",1
"harcourt","harcourt",1
"hpkthwwksm","hpkthwwksm",1
"port","port",1
"nzitlji","nzitlji",1
"adulteri","adulteri",1
"chmosgt","chmosgt",1
"consensu","consensu",1
"maid","maid",1
"conscienc","conscienc",1
"zbyjlrogiu","zbyjlrogiu",1
"nohglfvxi","nohglfvxi",1
"szhzazfwbh","szhzazfwbh",1
"academ","academ",1
"pyxzdfvoq","pyxzdfvoq",1
"radic","radic",1
"spearhead","spearhead",1
"repeat","repeat",1
"shock","shock",1
